Codigo;Descripcion
11111;Cultivo de soya
11112;Cultivo de semillas oleaginosas, excepto soya
11113;Cultivo de leguminosas
11114;Cultivo de trigo
11115;Cultivo de maíz
11116;Cultivo de arroz
11119;Cultivo de otros cereales
11121;Cultivo de hortalizas
11131;Cultivo de naranja
11132;Cultivo de otros cítricos
11133;Cultivo de frutales no cítricos y nueces
11141;Cultivo de productos alimenticios en invernaderos
11142;Floricultura, y otros cultivos de productos no alimenticios en invernaderos y viveros
11191;Cultivo de tabaco
11192;Cultivo de algodón
11193;Cultivo de caña de azúcar
11194;Cultivo de alfalfa y pastos
11199;Otros cultivos
11211;Explotación de bovinos para la producción de carne
11212;Explotación de bovinos para la producción de leche
11213;Explotación de bovinos sin especialización y para otros propósitos
11221;Explotación de porcinos
11231;Explotación de gallinas para la producción de huevo
11232;Explotación de pollos para la producción de carne
11233;Explotación de guajolotes o pavos
11234;Producción de aves en incubadora
11239;Explotación de otras aves para producción de carne y huevo
11241;Explotación de ovinos
11242;Explotación de caprinos
11251;Acuicultura
11291;Apicultura
11292;Explotación de équidos
11293;Cunicultura y explotación de animales con pelaje fino
11299;Explotación de otros animales
11311;Silvicultura
11321;Viveros forestales y recolección de productos forestales
11331;Tala de árboles
11411;Pesca
11421;Caza y captura
11511;Servicios relacionados con la agricultura
11521;Servicios relacionados con la cría y explotación de animales
11531;Servicios relacionados con el aprovechamiento forestal
21111;Extracción de petróleo y gas
21211;Minería de carbón mineral
21221;Minería de hierro
21222;Minería de oro y plata
21223;Minería de cobre, plomo y zinc
21229;Minería de otros minerales metálicos
21231;Minería de piedra caliza, mármol y otras piedras dimensionadas
21232;Minería de arena, grava, tezontle, tepetate, arcillas y de otros minerales refractarios
21239;Minería de otros minerales no metálicos
21311;Servicios relacionados con la minería
22111;Generación y transmisión de energía eléctrica
22112;Transmisión y distribución de energía eléctrica
22211;Captación, tratamiento y suministro de agua
22221;Suministro de gas por ductos al consumidor final
23611;Edificación residencial
23621;Edificación de naves y plantas industriales
23622;Edificación de inmuebles comerciales y de servicios
23711;Construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego
23712;Construcción de obras para petróleo y gas
23713;Construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
23721;División de terrenos y construcción de obras de urbanización
23731;Construcción de vías de comunicación
23799;Otras construcciones de ingeniería civil
23811;Trabajos de cimentaciones
23812;Montaje de estructuras prefabricadas
23813;Trabajos de albañilería
23819;Otros trabajos en exteriores
23821;Instalaciones eléctricas en construcciones
23822;Instalaciones hidrosanitarias, de gas, sistemas centrales de aire acondicionado y calefacción
23829;Otras instalaciones y equipamiento en construcciones
23831;Colocación de muros falsos, aislamiento y enyesado
23832;Trabajos de pintura y otros cubrimientos de paredes
23833;Colocación de pisos flexibles y de madera
23834;Colocación de pisos cerámicos y azulejos
23835;Realización de trabajos de carpintería en el lugar de la construcción
23839;Otros trabajos de acabados en edificaciones
23891;Preparación de terrenos para la construcción
23899;Otros trabajos especializados para la construcción
31111;Elaboración de alimentos para animales
31121;Beneficio del arroz, elaboración de productos de molinería y de malta
31122;Elaboración de almidones, aceites y grasas vegetales comestibles
31123;Elaboración de cereales para el desayuno
31131;Elaboración de azúcares
31132;Elaboración de chocolate y productos de chocolate a partir de cacao
31133;Elaboración de productos de chocolate a partir de chocolate
31134;Elaboración de dulces, chicles y productos de confitería que no sean de chocolate
31135;Elaboración de chocolate y productos de chocolate
31141;Congelación de frutas, verduras, guisos y otros alimentos preparados
31142;Conservación de frutas, verduras, guisos y otros alimentos preparados por procesos distintos a la congelación
31151;Elaboración de leche y derivados lácteos
31152;Elaboración de helados y paletas
31161;Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles
31171;Preparación y envasado de pescados y mariscos
31181;Elaboración de pan y otros productos de panadería
31182;Elaboración de galletas y pastas para sopa
31183;Elaboración de tortillas de maíz y molienda de nixtamal
31191;Elaboración de botanas
31192;Industrias del café y del té
31193;Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas
31194;Elaboración de condimentos y aderezos
31199;Elaboración de otros alimentos
31211;Elaboración de refrescos, hielo y otras bebidas no alcohólicas, y purificación y embotellado de agua
31212;Elaboración de cerveza
31213;Elaboración de bebidas alcohólicas a base de uva y bebidas fermentadas, excepto cerveza
31214;Elaboración de bebidas destiladas, excepto de uva
31221;Beneficio del tabaco
31222;Elaboración de productos de tabaco
31311;Preparación e hilado de fibras textiles y fabricación de hilos
31321;Fabricación de telas anchas de tejido de trama
31322;Fabricación de telas angostas de tejido de trama y pasamanería
31323;Fabricación de telas no tejidas (comprimidas)
31324;Fabricación de telas de tejido de punto
31331;Acabado de productos textiles
31332;Fabricación de telas recubiertas
31411;Fabricación de alfombras y tapetes
31412;Confección de cortinas, blancos y similares
31491;Confección de costales y productos de textiles recubiertos y de materiales sucedáneos
31499;Fabricación de otros productos textiles no clasificados en otra parte
31511;Fabricación de calcetines y medias de tejido de punto
31519;Fabricación de otras prendas de vestir de tejido de punto
31521;Confección de prendas de vestir de cuero, piel y materiales sucedáneos
31522;Confección de prendas de vestir de materiales textiles
31599;Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte
31611;Curtido y acabado de cuero y piel
