CLAVE;DESCRIPCIÓN
0;PESO
1;DOLAR AMERICANO
2;LIBRA
3;FRANCO FRANCES
4;FRANCO SUIZO
5;PESETA (EURO)
7;LIRA
8;FRANCO BELGA (EURO)
9;YEN
10;DOLAR CANADIENSE
11;PESO ARGENTINO
12;CORONA SUECA
13;FLORIN
14;PESO CUBANO
15;ESCUDO
16;ZLOTY
17;DOLAR HONG KONG
18;QUETZAL
19;REAL
21;CORONA CHECA
22;LIBRA EGIPCIA
24;CORONA DANESA
25;BOLIVAR
26;PESO COLOMBIANO
27;MARCO ALEMAN
28;CHELIN
29;COLON SALVADOREÑO
30;COLON COSTARRICENSE
32;CORONA NORUEGA
33;CORDOBA
34;BALBOA
35;NUEVO SOL
36;PESO CHILENO
37;PESO DOMINICANO
38;SUCRE
39;LEMPIRA
40;RUBLO (RUSO)
41;RIYAL
42;SHEKEL
43;DOLAR PORTORRIQUEÑO
44;DIRHAM MARROQUIN
46;GUARANI
47;DOLAR BELICE
48;PESO URUGUAYO
49;DOLAR JAMAIQUINO
50;LIBRA BERMUDAS
51;RUPIA
52;NVO. DINAR YUGOSLAVO
53;DOLAR AUSTRALIANO
54;MARCO FINLANDES
55;DOLAR BAHAMAS
56;DINAR-KUWAIT
57;LIRA TURCA
58;FRANCO CAMERUN
59;DRACMA
60;RANDS
61;DOLAR FIJIANO
62;LIBRA LIBANESA
63;FRANCO LUXEMBURGO (EURO)
64;RUPIA INDU
65;GUINEA HOLANDESA
66;FRANCO AFRICANO
67;WON SURCOREANO
68;FRANCO TAHITIANO
69;RENMINBI/YUAN
70;ESCUDO MOZAMBIQUE
71;LIRA MALTESA
72;DINARES LIBICOS
73;DOLAR TAIWAN NUEVO
75;RINGGIT
76;RIYAL DE ARABIA SAUDITA
77;LEU RUMANO
78;REAL DE CAMBOYA
79;PESO FILIPINO
80;DOLAR NVA ZELANDIA
81;CHELIN
82;ESCUDO ANGOLA
83;FORINT HUNGRIA
84;PUNT
85;LIBRA ESCOCIA
86;DINARES DE BAHARAIN
87;DIRHAMS ARABES
89;GOURDE
90;LEK
91;FLORIN
92;DINAR
93;DOLAR
94;DOLAR
95;PESO BOLIVIANO
96;LEV
97;CORONA ESTONIA
98;BIRR
99;DINAR
100;CORONA
101;DINAR JORDANO
102;DINAR LIBIA
103;LITAS
104;NAIRA
105;RUPIA PAQUISTAN
106;DOLAR
107;LIBRA SIRIA
108;RUPIA SRI-LANKA
109;BAHT
110;CHELIN
111;DOLAR
112;HRYVNA
113;DONG
114;RIAL
115;N.DINAR
116;ZAIRE
117;DOLAR (BELICE)
118;CORONA
119;CEDI
120;DOLAR DE GUYANA
121;WON NORCOREANO
122;FLORIN
124;EURO
199;ECU
200;UDIS
201;DERECHOS ESPECIALES DE GIRO (DEG)
202;UDIS GUBERNAMENTALES
203;UFC
999;MULTIMONEDA
