Tabla Temporal,FT_REPORTOS,,,,,,,,,,,
Tabla Sistema,"ST_REPORTOS_MN, ST_REPORTOS_ME",,,,,,,,,,,
Nombre Archivo,FT_REPORTOS.txt,,,,,,,,,,,
Separador de datos,"PIPE ""|""",,,,,,,,,,,
Nombre DTS,FT_REPORTOS.dtsx,,,,,,,,,,,
Descripcion,"LAYOUT DE DATOS REPORTOS_MN, REPORTOS_ME",,,,,,,,,,,
Uso,REPORTOS MN y ME,,,,,,,,,,,
Periodicidad,Diaria,,,,,,,,,,,
,,,,,,,,,Banxico,,,
Orden,Nombre,Tipo,Uso,Descripcion,Validacion,Catalogo,ComentariosBW,,Descr MN,Catalogo MN,desc ME,Cat ME
1,FECHACONCERTACION,FECHA (AAAAMMDD),"REPORTOS-MN (2)
REPORTOS-ME (2)",Fecha de Concertación,Fecha,,,,Fecha en que se concerto la operacion de Reporto\n(formato AAAA/MM/DD),0,Fecha en que se concerto la operacion de Reporto\n(formato AAAA/MM/DD),0
2,HORACONCERTACION,"NUMERICO (5,2)","REPORTOS-MN (3)
REPORTOS-ME (3)",Hora de Concertación,Decimal,,,,Hora en que se concerto la operacion de Reporto.,0,Hora en que se concerto la operacion de Reporto.,0
3,POSICIONOPERACION,TEXTO (1),"REPORTOS-MN (4)
REPORTOS-ME (4)",Posición en la Operación,"Longitud,Catalogo",PosicionOperacionRepo,,,Posicion de la Institucion en la operacion (conforme al “Catalogo de Posiciones en reportos”).,Catalogo de Posiciones en  reportos,Posicion de la Institucion en la operacion (conforme al “Catalogo de Posiciones en reportos”).,Catalogo de Posiciones en  reportos
4,FECHAINICIO,FECHA (AAAAMMDD),"REPORTOS-MN (5)
REPORTOS-ME (5)",Fecha de Inicio,Fecha,,,,Fecha en que inicia la operacion de Reporto (formato AAAA/MM/DD).,0,Fecha en que inicia la operacion de Reporto (formato AAAA/MM/DD).,0
5,FECHAVENCIMIENTO,FECHA (AAAAMMDD),"REPORTOS-MN (6)
REPORTOS-ME (6)",Fecha de Vencimiento,Fecha,,,,Fecha de vencimiento de la operacion de Reporto(formato AAAA/MM/DD).,0,Fecha de vencimiento de la operacion de Reporto(formato AAAA/MM/DD).,0
6,IMPORTEREPORTO,NUMERICO (12),"REPORTOS-MN (7)
REPORTOS-ME (7)",Importe del Reporto,Entero,,,,Importe de la operacion de Reporto (en miles de pesos),0,"Importe de la operacion de Reporto (en miles de dolares de los EE.UU.A.)
",0
7,MONEDAPRECIOUNITARIO,TEXTO (3),"REPORTOS-MN (8)
REPORTOS-ME (8)",Moneda del Precio Unitario,"Longitud,Catalogo",MonedaISO,,,Moneda del Precio Unitario de los Valores (clave conforme al “Catalogo ISO de Monedas”).,Catalogo ISO de Monedas,Moneda del Precio Unitario de los Valores (clave conforme al “Catalogo ISO de Monedas”).,Catalogo ISO de Monedas
8,TASAPREMIO,"NUMERICO (8,4)","REPORTOS-MN (9)
REPORTOS-ME (9)",Tasa Premio,Decimal,,,,Tasa de rendimiento pactada como premio de la operacion de Reporto (anualizada y en puntos porcentuales).,0,Tasa de rendimiento pactada como premio de la operacion de Reporto (anualizada y en puntos porcentuales).,0
9,TIPOTASAPREMIO,TEXTO (1),"REPORTOS-MN (10)
REPORTOS-ME (10)",Tipo de Tasa Premio,"Longitud,Catalogo",TipoTasaPremio_MN_ME,,,Clave del valor objeto de la operacion de Reporto (clave conforme al “Catalogo de Valores denominados en MN o UDIS”).,Catalogo de Valores  denominados en MN o UDIS,Clave del valor objeto de la operacion de Reporto (clave conforme al “Catalogo de Titulos de Deuda denominados en Moneda Extranjera”).,Catalogo de Titulos de Deuda denominados en Moneda Extranjera
10,TITULOOBJETOREPORTO,TEXTO (18),"REPORTOS-MN (11)
REPORTOS-ME (11)",Título Objeto del Reporto,"Longitud,Catalogo",,,,Precio unitario al que se negociaron los valores  objeto del Reporto (en pesos).,0,Precio unitario al que se negociaron los valores objeto del Reporto (en dolares de EE.UU.A.),0
11,PRECIOUNITARIOTITULOS,"NUMERICO (19,8)","REPORTOS-MN (12)
REPORTOS-ME (12)",Precio Unitario de los Títulos,Decimal,,,,Numero de Titulos negociados en la operacion de Reporto.,0,Numero de Titulos negociados en la operacion de Reporto.,Catalogo de  Contrapartes
12,NUMEROTITULOSOBJETOREPORTO,NUMERICO(12),"REPORTOS-MN (13)
REPORTOS-ME (13)",Número de Títulos Objeto del Reporto,Entero,,,,Contraparte con la que se concerto la operacion de Reporto (Clave conforme al “Catalogo de Contrapartes”),Catalogo de  Contrapartes,Contraparte con la que se concerto la operacion de Reporto (Clave conforme al “Catalogo de Contrapartes”),Catalogo de  paises
13,CONTRAPARTEREPORTO,TEXTO (6),"REPORTOS-MN (14)
REPORTOS-ME (14)",Contraparte del Reporto,"Longitud,Catalogo",CASFIM,,,Clave del pais de residencia de la contraparte  persona fisica residente en el exterior con la que se concerto la operacion. Solo aplica para  Contrapartes Fisicas del Extranjero. (Clave conforme al “Catalogo de paises”).,Catalogo de  paises,Clave del pais de residencia de la contraparte  persona fisica residente en el exterior con la que se concerto la operacion. Solo aplica para  Contrapartes Fisicas del Extranjero. (Clave conforme al “Catalogo de paises”).,0
14,CORROELECTRONICO,TEXTO (2),"REPORTOS-MN (15)
REPORTOS-ME (15)",Corro electrónico,"Longitud,Catalogo",CorroElectronico,,,Clave que identifica Si el reporto fue realizado por  cuenta propia o por cuenta de terceros (P = Si es propia T = si es de terceros).,0,Clave que identifica Si el reporto fue realizado por  cuenta propia o por cuenta de terceros (P = Si es propia T = si es de terceros).,Clave conforme al “Catalogo de Clientes”
15,TIPOPOSTURA,TEXTO (2),"REPORTOS-MN (16)
REPORTOS-ME (16)",Tipo de postura,"Longitud,Catalogo",TipoPostura,,,Clave del cliente del cual provienen los recursos con los que se realizo la operacion de Reporto (000820 = Persona fisica o 000830 = Persona moral).,Clave conforme al “Catalogo de Clientes”,Clave del cliente del cual provienen los recursos con los que se realizo la operacion de Reporto (000820 = Persona fisica o 000830 = Persona moral).,Catalogo de Corros  Electronicos
16,OPERACIONBANCOTRABAJO,TEXTO (1),"REPORTOS-MN (17)
REPORTOS-ME (17)",Operación realizada como Banco de Trabajo.,"Longitud,Catalogo",OperacionRealizadaBanco,,,Clave de la “Casa de Corretaje” (Corro electronico) por medio de la cual se concerto la operacion de Reporto (clave conforme al “Catalogo de Corros Electronicos”).,Catalogo de Corros  Electronicos,Clave de la “Casa de Corretaje” (Corro electronico) por medio de la cual se concerto la operacion de Reporto (clave conforme al “Catalogo de Corros Electronicos”).,Catalogo de Tipos de  Postura
17,NUMEROIDENTIFICACIONOPERACION,TEXTO (37),"REPORTOS-MN (18)
REPORTOS-ME (18)",Número de identificación de la Operación.,Longitud,,,,Clave de la Postura de la institucion en la operacion concertada a traves de una “Casa de Corretaje” (clave conforme al “Catalogo de Tipos de Postura”).,Catalogo de Tipos de  Postura,Clave de la Postura de la institucion en la operacion concertada a traves de una “Casa de Corretaje” (clave conforme al “Catalogo de Tipos de Postura”).,Catalogo de Claves de  banco de trabajo
18,TIPOMODIFICACION,TEXTO (1),"REPORTOS-MN (19)
REPORTOS-ME (19)",Tipo de Modificación,"Longitud,Catalogo",TipoModificacion,,,Operacion realizada como banco de trabajo (clave conforme al “Catalogo de Claves de banco de trabajo”).,Catalogo de Claves de  banco de trabajo,Operacion realizada como banco de trabajo (clave conforme al “Catalogo de Claves de banco de trabajo”).,0
19,CLASIFICACIONCONTABLEOPERACION,TEXTO (2),RCs,Clasificacion contable asignada a la compra-venta,"Catalogo,Longitud",ClasificacionContableCVT,,,Porcentaje de descuento aplicado al valor de mercado del valor objeto del reporto (un entero y dos decimales),0,Porcentaje de descuento aplicado al valor de mercado del valor objeto del reporto (un entero y dos decimales),0
20,FECHAVENCIMIENTO_TITULO,FECHA (AAAAMMDD),RCs,Fecha Vencimiento del titulo,Fecha,,,,Clave que identifica si la operacion presentara una sustitucion de valores (S = Si contempla sustitucion de valores o N = No contempla sustitucion de valores).,0,Clave que identifica si la operacion presentara una sustitucion de valores (S = Si contempla sustitucion de valores o N = No contempla sustitucion de valores).,0
21,OFICINA,TEXTO (1),RCs,Indicador de Republica o Agencia,"Longitud, Catalogo",CveOficina,,,"Clave que identifica la modalidad de la operacion (OR = Si se trata de un Open Repo, ER = Si se trata de un Evergreen Repo y SM = Si se trata de un reporto sin modalidad especial).",0,"Clave que identifica la modalidad de la operacion (OR = Si se trata de un Open Repo, ER = Si se trata de un Evergreen Repo y SM = Si se trata de un reporto sin modalidad especial).",0
22,EMISION,TEXTO (50),RCs,Clave de emisión,Longitud ,,,,"Plazo minimo de terminacion de la operacion, que garantiza que el reporto permanezca vigente durante el plazo previamente acordado.",0,"Plazo minimo de terminacion de la operacion, que garantiza que el reporto permanezca vigente durante el plazo previamente acordado.",0
